Rank,Sector,Relative Strength,Percentile,Relative Strength Short Term,Short Term Percentile,10D_RS,10D_RS_Percentile,1M_RS,1M_RS_Percentile,3M_RS,3M_RS_Percentile,6M_RS,6M_RS_Percentile,Tickers
1,Energy,114.94,99.0,98.65,89.1,118.25,89.1,120.98,99.0,117.26,89.1,94.51,69.3,"TORO,NGL,NBR,EFXT,WTI,PUMP,NESR,DWSN,STAK,SEI,LBRT,BORR,BTE,WTTR,FET,OBE,PTEN,PBT,VAL,RIG,KGS,TEN,SND,PARR,INSW,HP,AESI,CVE,GTE,NE,APA,LPG,KOS,UUUU,FTI,CMBT,SDRL,FRO,KLXE,HAL,EONR,ACDC,WFRD,PDS,DK,NAT,BWLP,INVX,TALO,EQNR,DINO,SM,VLO,SU,PXS,SOC,TRMD,VET,FLOC,OII,CHRD,TS,PBR,TK,TBN,E,EGY,VIST,STNG,PBF,TRGP,TDW,REPX,SLB,MUR,PNRG,HLX,CRGY,VG,UGP,PR,MPC,OVV,IMO,NRT,CNQ,TTE,NGS,IMPP,NOV,AROC,TNK,EC,BKR,NVGS,FTK,NPKI,RES,SUNC,WDS,DHT,KGEI,WHD,CVI,FANG,DNN,GLNG,XPRO,KNOP,FLNG,NEXT,PSX,PAGP,BP,SOBO,OIS,NXE,PAA,REI,DVN,GPRK,SUN,UEC,MTDR,XOM,DTM,OXY,YPF,CCJ,SMC,URG,WBI,TRP,COP,KNTK,PED,WMB,ISOU,PBA,CRC,MGY,USAC,EOG,CRT,CVX,WES,HPK,EPD,AMPY,VNOM,GFR,MARPS,BATL,ENB,RNGR,OKE,NCSM,DEC,KRP,SHEL,FTW,SD,KMI,MNR,CQP,PVL,EPSN,AM,WKC,ET,LB,EE,UROY,DKL,DMLP,SBR,VTOL,BKV,VOC,HESM,GLP,GRNT,RRC,CAPL,NC,IEP,EPM,AR,LNG,DTI,SGU,BTU,MPLX,IMPPP,BSM,CNR,TXO,DLNG,ARLP,CNX,TPL,LEU,EQT,GEL,BRN,MXC,CLB,NFG,NOG,INR,CKX,INDO,NOA,HNRG,NRP,TGS,GPOR,EXE,ANNA,LSE,TMDE,MMLP,SKYQ,OMSE,VTS,CLNE,MVO,USEG,BANL,GEOS,MTR,SLNG,AEC,CSAN,EP,SJT,CRK,EU,PRT,TPET,RCON,NFE,PROP,DLXY,RBNE,VIVK,TOPS"
2,Basic Materials,108.67,89.1,90.96,0.0,121.04,99.0,116.99,89.1,145.62,99.0,117.73,89.1,"HYMC,LWLG,ALTO,ALM,CRML,LAR,ELVR,NEWP,CENX,SCZM,SVM,NEXA,AUGO,SSL,TRX,NWPX,SGML,CSTM,USAS,KALU,GPRE,MTRN,THM,AG,HBM,TROX,NAK,CLMT,ALB,ARIS,TGB,TII,UAMY,PRM,REX,AA,CC,HL,TMQ,GORO,MAKO,USAR,SSRM,CGAU,SQM,SLSR,IAUX,NVA,MEOH,MUX,AYA,LXU,SOLS,ECVT,NUE,SKE,BVN,WRN,MT,ESI,RYAM,VOXR,STLD,SA,IDR,AAUC,CMP,TECK,IAG,PAAS,RIO,SCCO,BHP,ASM,EXK,CPAC,ERO,OGC,GGB,BAK,CF,DOW,VALE,LYB,UAN,AU,B,GRO,NEM,PZG,PPTA,VGZ,HUN,IPI,MP,CNL,MTA,LODE,FCX,CMT,ALOY,PKX,LAC,ODC,CX,CDE,TX,SBSW,NB,DD,KGC,DC,HCC,KOP,GRML,AMTX,OLN,RS,SLI,XPL,AREC,SXT,EQX,KRO,DRD,MTX,NGVT,SXC,GFI,NG,AGI,LZM,FRD,ASIX,WPM,WS,USGO,IE,MTUS,AMR,EGO,WLK,NTR,FSM,ICL,CE,WLKP,BTG,USAU,CHNR,AEM,LOOP,CTVA,FNV,FURY,ELE,TFPM,HWKN,CBT,IONR,LIN,OR,FSI,ASTL,RGLD,FF,GAU,APD,KBSX,NEU,ODV,CLF,GROY,IPX,NFGC,SSD,IFF,KWR,CNEY,GEVO,EMN,HMY,ASH,GLDG,SIM,ITRG,NTIC,SEED,IOSP,ACNT,FUL,ITP,TMC,BCPC,ORLA,VZLA,TTAM,OEC,USLM,NMG,JHX,SMG,CTGO,AVNT,LOMA,SCL,PPG,CMCL,WDFC,HUDI,PLG,AMRZ,ATLX,CRH,VMC,WFG,AXTA,GSM,EXP,VHI,SMID,MATV,ECL,YMAT,MLM,SHW,RPM,LUD,METC,BON,KNF,MSB,SUZ,BCC,ZKIN,AUST,JCTC,SID,MNTK,ASPI,UFPI,SLVM,METCB,WWR,OMEX,LGO,MOS,CLW,TGLS,FEAM,NEXM,FMC,GURE,NWGL,BGLC,ELBM,HDSN,FNUC,FMST,SNES,AVD,HLP,NAMM,MERC,CAPS,RETO,BIOX,NXTS,BGL,ORGN,INHD"
3,Technology,105.78,79.2,100.86,99.0,108.18,79.2,100.98,79.2,94.53,39.6,94.09,59.4,"MXL,AAOI,LITE,NVTS,AEHR,WDC,OPTX,MU,BAND,BNAI,CIEN,INTC,DOCN,TRT,MTC,MOVE,TSEM,STX,MRAM,NUAI,VICR,VELO,RYDE,VIAV,AIP,QUIK,TTMI,ONDS,OSS,VSAT,RXT,VPG,CHRN,ASYS,WOLF,POET,ICHR,WATT,SIMO,LPTH,COHR,FORM,UCTT,AMD,LASR,VSH,KEEL,APLD,MRVL,SITM,AMBQ,SILC,CIFR,HIMX,TOYO,PENG,KOPN,FLEX,SMTC,STM,KLIC,AMKR,SKYT,INTT,TER,SVCO,MTSI,GLW,ASX,BRUN,NOK,TYGO,MKSI,WYY,ALAB,TSAT,VECO,CURR,INOD,GCTS,LRCX,UMC,IMOS,OCC,ON,FIEE,ACMR,PDC,FEIM,DELL,LSCC,ACLS,PLAB,ARM,YOU,GSIT,COHU,ONTO,BELFA,VISN,VUZI,SANM,AMAT,CEVA,ASTS,BHE,BELFB,FN,SAIH,PDFS,AOSL,SYNA,GFS,MX,ATOM,SEDG,KEYS,DMRC,DIOD,CRDO,OUST,ADEA,ELSE,NVMI,AEVA,MPWR,KLAC,DHX,CLS,FROG,PLXS,RMBS,AKAM,HPE,ASTI,ADTN,TWLO,DDOG,LTRX,VLN,BB,QXL,AMPG,ARW,CAMT,FSLY,POWI,LFUS,UMAC,KN,JBL,OOMA,CSCO,ATEN,TXN,CORZ,SNX,NN,PLTS,FATN,ROG,PAYS,Q,DGII,RELL,ASML,GILT,AVT,FTNT,AIRG,CRWD,CGNX,MPTI,NXT,TSM,ALOT,ST,NTCT,ADI,BLZE,EXTR,ITRN,MCHP,JFU,SLAB,IONQ,ALGM,WYFI,NXPI,MEI,CREX,ALMU,VIVO,PANW,RDZN,NYAX,BVC,IPWR,CPSH,AVGO,AIFF,DDD,ERIC,RAMP,FFIV,ENTG,RNG,MITK,MCHPP,IPGP,SMSI,CRUS,PTRN,ENPH,QCOM,WKEY,NAVN,RAL,NVEC,ESE,FLYW,SOTK,SHLS,DAVE,ALNT,GCT,BTDR,NVDA,DPRO,CTS,CLFD,TDC,BKTI,HLIT,ODYS,INGM,NATL,RELY,LINK,VRSN,AAPL,NTWK,MCRP,XPER,NOVTU,PUBM,CGNT,NOVT,MDB,CMTL,MLAB,IBTA,LIDR,XYZ,AGPU,AIXI,KSPI,RDWR,ZM,AMBA,QRVO,LYTS,QMCO,AXIL,TSSI,NET,CRWV,S,P,LSAK,VNET,DUOT,WETH,FORTY,SWKS,ANET,DAIO,NTAP,INDI,UI,CRNT,INSG,TAOX,EGHT,TLS,ZETA,LEDS,CDNS,SABR,TURB,DBD,CWAN,CCSI,PRSO,FTV,SCSC,LOGI,U,UTSI,USIO,FSLR,SONO,CRNC,STRC,TDY,QBTS,KTCC,PLUS,CPAY,GRMN,ORCL,RDVT,DSP,SNPS,RSKD,RGTI,LPL,FEBO,GPRO,ASUR,IMXI,GDS,AUDC,CRSR,APPS,SPRU,EVCM,CNXN,IPM,TONX,MTLS,OSPN,FIVN,MSN,OKTA,RBRK,TENB,UIS,IBEX,KC,STRF,APH,LGL,RZLV,BGIN,CSIQ,NTGR,SOBR,STRD,DJCO,SCOR,KARO,DSWL,HKD,BRZE,PI,VEEA,DBX,KLTR,PERF,PXLW,DAKT,API,GRRR,BOSC,KDK,RMNI,PAGS,GEN,FOXX,SAIC,ACFN,ACIW,KULR,RBBN,UEIC,PHUN,GNSS,HPQ,NXPL,TEL,IMMR,GGRP,PLTR,DTST,WEX,MITQ,VRNS,VTEX,WETO,VHC,BOX,PRTH,JKS,MSFT,ZEPP,LAW,TUYA,AZ,IOT,DT,QUBT,BBAI,WRD,SMRT,III,ADSK,GRND,CLVT,DLO,EGAN,PATH,TACT,ARRY,SYNX,MSI,NSIT,SMCI,ZBRA,NNDM,SONY,BKKT,FRSH,IDCC,CACI,CLPS,SAIL,VS,GMM,MLGO,WRAP,DSGX,UBER,STRK,BLSH,XNET,AMST,PDYN,PSFE,SOUN,CLBT,PAYC,TTGT,BLIN,GDYN,ADP,QLYS,CSPI,UAVS,BMR,SNOW,RPAY,IBM,ALRM,SSNC,IDN,CVLT,PAYX,PTC,SQNS,LSPD,AGYS,HIT,ARBB,BULL,MRT,STNE,TTEC,DOCU,JKHY,PGY,QCLS,ELTK,UPBD,SMWB,BDC,MYSE,MSTR,PAYO,RMSG,LYFT,BILL,TBCH,ALLT,DCBO,EEFT,NTNX,SHOP,MQ,MIND,OTEX,OSIS,BEEM,SSYS,ALAR,GWRE,YALA,RUN,ZS,LAES,BSY,PCTY,IFBD,ALKT,CRM,DOX,RSSS,ADBE,KPLT,MANH,FICO,CRCT,KOSS,YMM,AEYE,EXLS,AVPT,SUNE,MFI,ARBE,APPF,EVTC,INFY,TCX,DQ,SCKT,DFIN,TRAK,CNDT,SSTI,CMRC,IIIV,AIMD,CXM,NTSK,BZAI,GDDY,PCOR,WIT,TRMB,PAY,G,SAP,SVRE,GLOO,ITRI,OLED,ESTC,YIBO,GIB,ROP,OST,VERI,IDAI,USBC,TYL,NRDY,GTLB,TEAM,IT,CHYM,NCNO,JG,INTU,ORIO,NICE,TTAN,INLX,KLAR,AIOT,ACN,CTSH,CDW,NOW,VTSI,VERX,MTEK,QTWO,GRAB,BLIV,BTQ,VNT,AMBR,EXFY,CINT,TASK,MNDO,AMPL,PSN,YB,CLMB,FIS,APPN,AVNW,ORKT,WBX,SANG,LDOS,CALX,BR,CAN,ZSQR,CHKP,REKR,FKWL,PD,GLOB,NA,AIXC,AISP,TOST,PEGA,ATGL,FTCI,GLE,RPD,WK,BL,WDAY,CTM,AI,CCC,SPT,SPSC,AWRE,YXT,DXC,MNDY,SPWR,CNXC,PRGS,MOBX,INTA,BMI,ASTC,EPAM,LIF,EBON,ASAN,BLND,KVYO,BTCT,MYSZ,LGCL,ATHR,DTSS,SMXT,THRY,KD,NEON,INTZ,TAOP,ARQQ,SRAD,SUPX,VYX,MVIS,INUV,VRRM,IMTE,PONY,FRMM,HUBS,ICG,AIOS,DUOL,FOUR,SONM,DVLT,FUSE,CLRO,NABL,ZEO,SLAI,HCKT,OWLS,ALIT,AMCI,CYN,MNTN,FIG,DAVA,DOMO,JZ,HOLO,WIX,REFR,AUID,BLKB,TGHL,PSQH,RTB,VIA,GAUZ,YEXT,CXAI,CISO,ILLR,NTCL,AGMH,EXOD,CSAI,UPLD,TGL,SMTK,RCT,OLB,GTM,LHSW,NVNI,PAR,LPSN,FTFT,ZENA,SAGT,EFOR,KNRX,HTCR,YAAS,AIFC,FRGT,CETX,XBP,SELX,RIME,ARAI,IZM,HPAI,MSAI,AMOD,CYCU,PN,BOXL,DAIC,AMZE,MASK,CHOW,WLDS,NXTT,WCT,YYAI,BIYA,TDTH,WTO,JTAI,AUUD,BNZI,HKIT,FCUV,GMEX,YMT,UBXG,LZMH,RPGL,HUBC"
4,Healthcare,96.84,69.3,94.3,49.5,104.4,69.3,100.79,69.3,109.45,79.2,134.98,99.0,"RLMD,ABVX,AGL,CLYM,ANL,ERAS,NBTX,ANTX,CELC,PRAX,SLS,TNGX,SPRB,STTK,DMRA,KOD,INBX,ANRO,RLYB,QUCY,ORKA,OVID,SYRE,SLGL,PRLD,IPSC,ALMS,ANAB,DNTH,MGNX,STRO,CAPR,IRD,DRTS,PIII,RLAY,RVMD,ARWR,IRWD,IMMX,NKTR,XWEL,IBRX,GLUE,KZIA,ARTV,COGT,LQDA,LONA,JBIO,EQ,IFRX,MCTA,PVLA,QTTB,PACS,BIOA,ZNTL,LIXT,TYRA,AXGN,NRXS,GLSI,ACRS,MLTX,HCWB,LXRX,ASRT,OMER,AVR,BFLY,CNTA,ARMP,ALXO,BNR,FBIOP,CNTX,RAPP,CMPS,URGN,ETON,SRZN,ROIV,BTSG,ELVN,BTSGU,KALV,BWAY,AVNS,WHWK,KYTX,EMPG,DFTX,ABSI,NAUT,EDAP,DSGN,CYCN,TVTX,PLRZ,IMVT,AVTX,ORMP,SEPN,GRDX,AIRS,CGON,ELDN,RCUS,VOR,ICCC,SPRO,NERV,BDSX,CGEN,ZURA,FTRE,TXG,RGC,ASTH,CRVS,CPIX,PALI,NNNN,ANNX,CERS,EWTX,GH,ELMD,MBAI,JAZZ,INDV,DTIL,AXSM,CAMP,KRYS,PDEX,SNSE,GHRS,OGN,OSCR,MDAI,TWST,CYTK,MPLT,IMNM,CDXS,APGE,NHC,STAA,CTNM,AKAN,VIR,ESPR,TRVI,MBX,DRUG,CABA,CCCC,ADAG,IMDX,CUE,SION,CGTX,MRVI,OABI,POAS,ALLR,PTGX,KYMR,VTVT,ABCL,TENX,PLSE,CGEM,TALK,HYPR,ANIK,CLOV,TSHA,CV,FATE,APYX,XOMA,IMTX,STOK,TEVA,CADL,ATRA,IMRX,MRNA,LBRX,LNTH,PRPO,PRE,KNSA,VTRS,UTHR,BLTE,BVS,CNC,PGEN,BCAX,GRAL,IOVA,OLMA,NSYS,NVCR,NGNE,IBIO,ABOS,XENE,TCMD,HYFT,INNV,APLM,DVA,PTHS,AMLX,AMWL,SLDB,BDTX,TOI,GKOS,ZYME,AMN,UNCY,FBRX,ENTA,LGND,NVCT,DBVT,CLDX,MNPR,BKD,HURA,EVAX,SABS,RPRX,MGTX,VCYT,HUM,CBIO,OKUR,MIRM,NRC,CPRX,CNTB,NKTX,IONS,ALLO,NRXP,PBYI,NRIX,VMD,PYPD,VYNE,PHAT,ILMN,NDRA,SRTA,TECX,PYXS,ESTA,AURA,NNVC,ACHC,ONMD,LIVN,CVS,OCS,CDNA,QNTM,TGTX,OMCL,AUPH,KURA,BBIO,EDIT,GRDN,CLLS,UNH,AVBP,TXMD,IMUX,BEAM,HNGE,SNDX,WST,INFU,ACHV,CHRS,MDGL,NUVB,SVRA,PHVS,ALEC,NPCE,MLYS,SOPH,PSNL,PTN,NAMS,ACIU,MD,LYEL,CRBU,MAZE,SGMT,SY,ATAI,SRRK,XFOR,TBRG,FDMT,OSTX,CRDL,PNTG,ELTX,LFST,QURE,SNDA,IART,INM,DYN,CTMX,BRKRP,DARE,LRMR,CCRN,NEOG,NGEN,VERA,VNDA,ALKS,HCSG,ASND,PDSB,TLPH,MASS,GUTS,PROF,IPHA,OBIO,FONR,NBIX,HYPD,SEM,MRK,OCGN,JNJ,EXEL,TOVX,PTCT,LCTX,BIIB,NTLA,IRMD,ELV,LLY,BRKR,OSUR,NXTC,AVIR,ARDX,TKNO,PRME,SLN,MRKR,CORT,RANI,ACRV,KPRX,LEGN,CRBP,TFX,NUVL,BMY,PMVP,FENC,PGNY,BOLD,CON,CNTN,CBLL,NVS,KPTI,NVAX,AMRX,TTRX,ZVRA,VRCA,GPCR,MASI,ABUS,ATHE,AQST,ANGO,LMAT,NUTX,EYPT,WRBY,GMED,SUPN,POCI,TNYA,XNCR,XBIO,TBPH,DNLI,PEN,IBO,LSTA,EOLS,ECOR,NTRA,GSK,BCRX,ADPT,IDYA,INCY,CRON,CABR,HBIO,TDOC,CATX,AHCO,AZN,IVA,ELAN,UTMD,IRON,CING,AVAH,MLSS,TARS,ARGX,TLSA,ANIP,ASMB,FBIO,BLCO,KMDA,PCVX,CAH,NVST,TLX,PRTA,EPRX,CCM,MOH,DCTH,LFMDP,DXR,TRAW,AEON,AHG,PFE,ICU,PROK,XOMAO,NEO,GMAB,ONCY,BIO,TAK,INVA,MSLE,OMDA,AUTL,HALO,AMGN,SGHT,XOMAP,EW,LFMD,PRVA,DGX,SOLV,GILD,ITGR,BLFS,ELUT,NMRA,HSTM,NMTC,KIDS,ARQT,INKT,RYTM,ABBV,WAT,KLRS,LTRN,PRTC,TARA,HTFL,CELZ,CNSP,AYTU,ALGN,INGN,ESLA,LGVN,SHC,RVTY,ZBIO,ZTEK,PHG,MREO,BFRI,ENSG,ADCT,HSIC,IQV,NEUP,MESO,HQY,CRNX,UFPT,CI,ENOV,IVVD,KRMD,VYGR,MNOV,EVMN,CRSP,CRL,ARVN,AMRN,MYO,MTVA,MEDP,ONC,VKTX,SLP,VRTX,OSRH,SMTI,DXCM,PLX,SILO,NEPH,ALHC,OPK,SANA,XERS,HRMY,TMCI,IKT,ABEO,LH,MXCT,SNY,INMD,PMCB,CSBR,RDY,LFWD,YCBD,COCP,CTKB,THC,BMEA,GNLX,SMMT,REGN,TELA,PHAR,CCLD,HAE,PCRX,LXEO,TELO,VANI,EHC,KTTA,RADX,IGC,SNN,XBIT,BYSI,HITI,LUNG,JYNT,A,ICUI,BDX,BIAF,CHE,GDTC,EVH,MCK,LAB,CRDF,MDWD,CARL,ORIC,BMRA,BHC,PAHC,VCEL,STVN,IMRN,TMO,TCRT,KRRO,ANIX,GRFS,BRNS,ICLR,XRTX,WEAV,DMAC,BNTC,NVO,XLO,SCYX,IDXX,RVP,HIMS,VREX,BDMD,OCUL,BOLT,RCEL,KMTS,HLN,OFIX,ARDT,FMS,ACAD,SIBN,ZBH,PLRX,VRAX,MOLN,IMCR,RNXT,ACET,TCRX,MIST,ATNM,RIGL,YI,CCEL,EBS,CVRX,EXOZ,ISRG,LKFT,HCA,AGEN,BLLN,CLPT,ATRC,COLL,STE,PACB,AGIO,COYA,DNA,GERN,IRIX,DYAI,SYK,ACOG,INSM,BLRX,CRMD,CYH,TECH,PRCT,BNTX,SRTS,APRE,ADXN,MDT,RMTI,GEHC,BMRN,CSTL,RARE,QNCX,RGEN,SEER,LUCD,BAX,GDRX,PRQR,VRDN,OKYO,BBOT,ADUS,ATR,ALC,STXS,CGC,GALT,PMN,APM,GANX,ADGM,ALNY,INAB,DHR,BIVI,MTD,BTMD,TNDM,SDGR,PHIO,RMD,BFRG,EVO,SRPT,MAIA,CLRB,ANVS,HCM,ACB,COCH,DERM,COR,MGX,PETS,APUS,RNAC,QSI,ACON,KYNB,USPH,ZLAB,RDNT,COO,SPOK,FHTX,OM,SPRY,ALGS,RDHL,MYGN,UHS,KAPA,INMB,HROW,XRAY,UPB,JANX,CNMD,TNXP,MTNB,ACH,AUNA,UPC,RCKT,IRTC,SNTI,QGEN,NBP,SGRY,SIGA,FULC,MBOT,XTNT,XGN,RNTX,PCSA,ARCT,MIRA,MMSI,RXRX,VEEV,OGI,PSTV,NCEL,ERNA,BNGO,LEXX,BHVN,GLMD,AVTR,INCR,CBUS,TLRY,VERU,NRSN,TRDA,NTHI,TEM,ABT,CPHI,BBLG,SERA,RZLT,OWLT,GYRE,SENS,TRIB,DRIO,KROS,EVGN,SINT,FLGT,OPCH,CTOR,STSS,ADVB,ATOS,AAPG,NTRB,BCYC,CMMB,ENLV,MCRB,TNON,CTXR,NCNA,ENTX,PBH,RNAZ,SCLX,WVE,CTEV,MNKD,SCNX,LITS,ACXP,GOVX,RGNX,TVRD,REPL,PASG,HUMA,INO,BCDA,SSII,CTSO,AMPH,PBM,PRGO,CAI,HRTX,STIM,HELP,XTLB,XCUR,AZTR,BMGL,VBIO,VIVS,GRCE,BEAT,LFCR,QTI,VALN,PLUR,AZTA,CALC,SER,TIL,RXST,BSX,BCTX,SKYE,ALT,BBNX,NVNO,TLSI,LUCY,WAY,HKPD,MDXG,ORGO,INTS,GTBP,IMA,DCGO,AKBA,ABVC,AORT,ALVO,AMS,CURX,BTAI,HSCS,COSM,ZTS,RPID,OGEN,VTGN,SNWV,CERT,VSTM,HOTH,ATEC,NNOX,NAGE,HCAT,AEMD,PEPG,INSP,AVXL,FLNA,CODX,BGMS,PODD,DRMA,NOTV,NYXH,TMDX,QNRX,FEMY,CVKD,ENVB,DOCS,BJDX,ZYBT,AMIX,PAVM,ITOC,ADIL,MBIO,ALZN,CMPX,IMNN,MNDR,HOWL,ADMA,PHR,CRVO,MGRX,MENS,LNSR,NSPR,LPCN,QDEL,WGS,ZCMD,TVGN,NXL,MBRX,ZJYL,CANF,HIND,QTRX,OPRX,GELS,SCNI,YDES,JSPR,CELU,DWTX,TPST,CDIO,ACTU,CLGN,SPRC,INBS,MLEC,IXHL,POM,VNRX,ATYR,INDP,CUPR,NSRX,ENSC,REVB,ARAY,AARD,WW,DH,LENZ,GRI,BRTX,DCOY,LIMN,ALDX,GNTA,CRIS,PPBT,VTAK,OTLK,APVO,NXGL,SHPH,NUWE,SXTP,ICCM,PRFX,PULM,SNOA,WGRX,MDXH,JUNS,VSEE,CVM,XAIR,VVOS,SBFM,SXTC,BDRX,ENGN,SNGX,EMBC,BCAB,GNPX,LNAI,FEED,MODD,IMMP,ARTL,RDGT,AKTX,SLXN,IMCC,ISPC,PPCB,HCTI,GCTK,IVF,AIM,MDCX,FBLG,CLDI,SNYR,BGM,PFSA,GOSS,KALA,ELAB,JAGX,NIVF,CMND,PHGE,PMI,ASBP,WOK,CDT,ADTX,ONCO"
5,Industrials,95.64,59.4,93.77,29.7,100.12,59.4,97.17,59.4,103.75,69.3,92.85,39.6,"JLHL,BE,PL,TE,SATL,FCEL,NCEW,ROMA,RKLB,SIF,BKSY,SIDU,LUNR,BUUU,RFIL,POWL,TH,VATE,AMPX,SKBL,STRL,AP,MAGH,MAMK,BLDP,FBYD,PLUG,FIX,AGX,SPIR,UUU,MYRG,PHOE,PSIG,ELVA,LGN,GVH,VRT,CVV,XMTR,VSTS,TTI,MTZ,THR,RDW,ATRO,IESC,ECG,SHIP,HSHP,PKE,SHMD,CYRX,PLPC,NVT,GHM,SHIM,ECO,CAT,ENS,BWEN,CECO,HOVR,CODI,EFTY,RXO,FLY,GEV,HUHU,AEIS,EDRY,EGG,PWR,ARCB,CMPR,SWBI,USEA,NVRI,CTOS,JCSE,ASC,ESOA,MG,PBI,CVLG,HLIO,ATI,HTLD,ORN,GRC,HAFN,JBHT,GLBS,ADUR,MATX,FSTR,DCO,TFII,WCC,AMSC,CMI,GASS,SAIA,KNX,ZONE,SB,ESLT,MOB,NMM,TUSK,DSX,CMDB,SFL,VOYG,GNRC,AAON,DY,PPSI,TWIN,CRS,MRCY,FDX,XPO,PKOH,GEO,TKR,FTAI,RHLD,WERN,MEC,GNK,PRLB,CVU,KELYB,NPK,LSTR,AERT,DAC,CMRE,KODK,UNF,PPIH,NPO,DFSC,NNBR,MRTN,ESEA,CAR,MLI,SNDR,EME,SEB,SBLK,ULS,KFRC,CW,KMT,EHLD,DXPE,TPC,ARMK,KEX,GSL,CHRW,AIR,APT,ZIM,PANL,HWM,VMI,RLGT,R,RBC,ESP,CODA,ODFL,WWD,CSX,PCT,CDLR,BLBD,BWXT,DAL,QUAD,LAWR,VVX,MSM,ACTG,HXL,AZZ,ROK,LXFR,FA,SPCB,RRX,ZJK,ASPN,ABAT,AMRC,NL,SXI,CSTE,DLX,HQI,ISSC,TBI,GWW,AIT,RTO,INVE,GVA,ATKR,TRN,WAB,CLH,CMC,EXPD,BGSF,JCI,CXW,NDSN,TRC,ZTG,ACA,MATW,WLFC,STI,DRS,LIQT,ARTW,TGEN,IEX,SYM,ZTO,CPA,CNI,ATS,SKK,UNP,WFCF,URI,AME,RGR,NTIP,APG,DUKR,POWW,SMHI,KRMN,FER,INTJ,RCMT,NSC,CP,GFF,WSC,CASS,GRNQ,BBCP,BRC,EBF,ETN,RJET,PC,LECO,TTC,JOB,ALGT,HUBG,STRRP,ITT,RYZ,TEX,POWWP,AER,STRR,DOV,LTM,AIRTP,TNC,LHX,XTIA,ULCC,LUV,MSW,GTLS,ZWS,ADSE,OTTR,SNA,WTS,FLS,MTRX,PCAR,WLDN,GD,RGP,FELE,FTAIM,ULBI,TXT,EML,SPAI,PRG,HII,PH,GE,HUBB,TT,FTAIN,ACCO,ASTE,CAAP,BA,EVLV,POLA,RTX,SPXC,KFY,DE,EAF,GATX,PAMT,SFWL,UPS,NSSC,MIDD,HMR,AAL,HON,KE,UAL,VLRS,CARR,ENGS,LMT,SWK,FSS,EMR,GTES,MGRC,BBUC,RCAT,FERG,CIX,XRX,KAI,BLD,FAST,AWX,MTW,DLHC,GENC,CLWT,TOMZ,ARLO,KELYA,RBA,GIC,PAC,HURC,BAER,HRI,RR,AIRI,AIRJ,GBX,VSEC,NSP,AGCO,AIRT,CCEC,JOBY,TISI,BOOM,CRESY,WM,AEBI,MSA,TITN,FLR,PAM,MAS,ROAD,ILAG,CAE,REZI,WSO,BCO,BLNK,DCI,TATT,DNOW,BOC,MWA,OESX,ITW,HEI,BWMN,WOR,TAYD,SPPL,NX,FCN,WMS,OMAB,RSG,MMM,HTZ,TPCS,RYAAY,SARO,DSGR,UHAL,NOC,OSK,TG,ASR,OPXS,ALTG,CSW,EMBJ,EVI,CR,JBLU,PRIM,UGRO,AYI,TRNS,JBTM,LII,KRNT,NNE,HY,FLYX,FLX,SCWO,GXO,WCN,RHI,MHH,CTRM,TDG,OC,FORR,BV,SERV,AMTM,GPN,NPWR,ENVX,TRSG,HAYW,CWST,CSL,APOG,APWC,KTOS,VLTO,MIR,RELX,FTEK,GGG,OFLX,ABM,CMCO,CNH,CVR,ADT,PSHG,CNM,TREX,LOAR,CDTG,TIC,BAH,MAN,SBC,AWI,ASLE,LTBR,FIP,CTAS,CRAI,LPX,QXO,BBSI,TWI,EOSE,LNN,TNET,IR,SFHG,SITE,HLMN,SPCE,PLAG,PMEC,ICFI,EXPO,RAIL,XYL,J,HHS,ALLE,SKYW,EPAC,XOS,FBGL,DLB,ALK,CRGO,AOS,GFL,HCAI,MMS,ULH,OTIS,LZ,CDRE,STN,EVEX,TOPP,VRME,AERO,CLIR,TTEK,CBAT,CPRT,ALG,VRSK,ANPA,HURN,SGLY,ESAB,EFX,LMB,CBZ,VWAV,PESI,ENR,IIIN,OPTT,TRI,SGRP,AQMS,PNR,AXON,EPOW,WXM,SWIM,POOL,AIHS,CXT,KBR,WNC,ACHR,SUGP,BXC,SKYX,LGPS,AVAV,GFAI,LSH,PEW,MNTS,SWVL,HXHX,GP,ETS,RYOJ,TLIH,ONT,FBIN,JBI,SNT,PAL,ACM,YDDL,GPGI,ROCK,EH,HIHO,QRHC,ATXG,MRLN,BLDR,HTCO,BEEP,ARQ,LASE,IVDA,SST,NIXX,NEOV,XCH,SLND,BETA,ACCL,LNZA,PSIX,MIMI,ERII,RAIN,DFLI,NVX,FLUX,YSXT,XPON,JELD,MWG,VNTG,OFAL,SMR,KSCP,SDST,GWAV,CETY,WFF,AEHL,EVTL,CRE,BTOC,ELOG,PCTTU,GWH,GPUS,HYFM,BNC,ATLN,SRFM,BCHT,AIRO,ICON,UFG,CCTG,SVRN,ONEG,INLF,PRZO,RITR,YOOV,MSGY,FWRD,UP,FOFO,BYRN,RVSN,IPDN,EHGO,GLXG,BURU,LICN,CJMB,CIIT,ZDAI,OLOX,MTEN,SOAR,SCAG,NCT,JYD,SLGB,THH,DXST,RAYA,KITT,DFNS,DEVS,FGL,CISS,DGNX,MGN,CTNT,RUBI,VCIG,ELPW,SMX,LNKS,LBGJ"
